39373386760.333336,103063821.91118829,10-LUBM,pyrudof
86134910982.66667,167508318.71626183,20-LUBM,pyrudof
130060473978.66667,272487005.47198576,30-LUBM,pyrudof
176382650558.66666,263431844.30799794,40-LUBM,pyrudof
224068389154,128859600.39761555,50-LUBM,pyrudof
272406481156.66666,792190221.718067,60-LUBM,pyrudof
321113634997.3333,307459691.8535109,70-LUBM,pyrudof
369599717263.6667,480649747.41619146,80-LUBM,pyrudof
416418045585,575659771.5179279,90-LUBM,pyrudof
466468535530.3333,615574824.4620711,100-LUBM,pyrudof
