76408876.600000,38002939.082228,10-LUBM,TopQuadrant
128815812.900000,12467593.862462,20-LUBM,TopQuadrant
181120367.600000,44909001.886818,30-LUBM,TopQuadrant
215344113.700000,40066086.327926,40-LUBM,TopQuadrant
257259536.500000,37012614.096709,50-LUBM,TopQuadrant
281678442.700000,8078268.721517,60-LUBM,TopQuadrant
339358483.400000,25805835.298351,70-LUBM,TopQuadrant
397826225.400000,44432607.062772,80-LUBM,TopQuadrant
446996713.800000,39682641.979758,90-LUBM,TopQuadrant
488792247.000000,32464959.650119,100-LUBM,TopQuadrant
