128427174.33333333,5135650.836936866,100-lubm,shapes-rs
7353549.333333333,525332.4985628943,10-lubm,shapes-rs
17617337.333333332,921324.4964866252,20-lubm,shapes-rs
27763626,635228.9940242022,30-lubm,shapes-rs
39963366.333333336,512819.1193630882,40-lubm,shapes-rs
56268879,2550970.240350914,50-lubm,shapes-rs
65101535,2643131.919434972,60-lubm,shapes-rs
86338038,2478486.331430335,70-lubm,shapes-rs
95492641.33333333,3345563.979170677,80-lubm,shapes-rs
118549769.66666667,5649727.709106549,90-lubm,shapes-rs
